,Destination_Port,Flow_Duration,Total_Length_of_Fwd_Packets,Fwd_Packet_Length_Mean,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Max,Fwd_Header_Length,Fwd_Packets/s,Bwd_Packets/s,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,Average_Packet_Size,Avg_Fwd_Segment_Size,Subflow_Fwd_Bytes,Init_Win_bytes_forward,Active_Min,Idle_Mean,Idle_Max,Idle_Min,Label
32,32771,108,4,2.0,36.0,21.65640783,49,49,49.0,0.0,49,48,48.0,48,48,18518.51852,18518.51852,6,3.6,2.19089023,4.8,4.5,2.0,4,1024,0,0.0,0,0,-1
33,41762,23,0,0.0,23.0,0.0,23,0,0.0,0.0,0,0,0.0,0,32,43478.2608695652,43478.2608695652,0,0.0,0.0,0.0,0.0,0.0,0,1006,0,0.0,0,0,-1
34,53,33401,78,39.0,11133.66667,19278.01417,33394,4,4.0,0.0,4,3,3.0,3,64,59.87844675,59.87844675,55,45.4,8.76356092,76.8,56.75,39.0,78,-1,0,0.0,0,0,-1
35,80,86555755,352,50.28571429,7212979.583,24700000.0,85600000,86600000,14400000.0,34900000.0,85600000,929,185.8,686,240,0.080872728,0.069319481,5792,853.3571429,1850.963143,3426064.555,919.0,50.28571429,352,251,4,85600000.0,85600000,85600000,1
36,53,67911,72,36.0,22637.0,39206.7020801291,67909,1,1.0,0.0,1,1,1.0,1,40,29.450309964499997,29.450309964499997,71,50.0,19.1702895127,367.5,62.5,36.0,72,-1,0,0.0,0,0,-1
37,80,101811170,1600,160.0,6787411.333,25800000.0,100000000,102000000,11300000.0,33300000.0,100000000,1769854,353970.8,1671987,328,0.09822105,0.05893263,5792,776.1764706,1509.587536,2278854.529,824.6875,160.0,1600,251,997,100000000.0,100000000,100000000,1
38,53,217,72,36.0,72.33333333,83.21257918,165,4,4.0,0.0,4,48,48.0,48,64,9216.589862,9216.589862,135,75.6,54.22453319,2940.3,94.5,36.0,72,-1,0,0.0,0,0,-1
39,53,24257,166,83.0,8085.666667,14001.32141,24253,3,3.0,0.0,3,1,1.0,1,40,82.45042668,82.45042668,165,115.8,44.91324972,2017.2,144.75,83.0,166,-1,0,0.0,0,0,-1
40,53,890,88,44.0,296.6666667,469.3722758,838,3,3.0,0.0,3,49,49.0,49,40,2247.191011,2247.191011,148,85.6,56.96314598,3244.8,107.0,44.0,88,-1,0,0.0,0,0,-1
41,53,23910,65,65.0,23910.0,0.0,23910,0,0.0,0.0,0,0,0.0,0,32,41.82350481,41.82350481,130,86.66666667,37.5277675,1408.333333,130.0,65.0,65,-1,0,0.0,0,0,-1
42,53,60445,43,43.0,60445.0,0.0,60445,0,0.0,0.0,0,0,0.0,0,40,16.54396559,16.54396559,167,84.33333333,71.59143338,5125.333333,126.5,43.0,43,-1,0,0.0,0,0,-1
43,443,8999523,0,0.0,4499761.5,2120793.549,5999389,8999523,4499761.5,2120793.549,5999389,0,0.0,0,92,0.33335100100000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0,8192,3000134,5999389.0,5999389,5999389,-1
44,443,116777307,1170,68.82352941180001,3649290.84375,14310816.6203384,58263939,116777307,7298581.6875,19877803.385888506,58300563,116683978,7778931.86666667,58300900,352,0.1455762291,0.1370129215,1430,190.3823529412,389.9839945982,152087.516042781,196.1515151515,68.82352941180001,1170,8192,86834,58201872.0,58263939,58139805,-1
45,63487,25,6,6.0,25.0,0.0,25,0,0.0,0.0,0,0,0.0,0,20,40000.0,40000.0,6,6.0,0.0,0.0,9.0,6.0,6,79,0,0.0,0,0,-1
46,52792,40,6,6.0,40.0,0.0,40,0,0.0,0.0,0,0,0.0,0,20,25000.0,25000.0,6,6.0,0.0,0.0,9.0,6.0,6,60,0,0.0,0,0,-1
47,52977,48,6,6.0,48.0,0.0,48,0,0.0,0.0,0,0,0.0,0,20,20833.3333333333,20833.3333333333,6,6.0,0.0,0.0,9.0,6.0,6,913,0,0.0,0,0,-1
48,443,6980070,806,73.27272727,387781.6667,1396532.083,5973107,6980070,698007.0,1856135.132,5973161,6789732,969961.7143,5973159,360,1.575915428,1.146120311,1448,242.75,453.0067822,205215.1447,255.5263158,73.27272727,806,29200,1006793,5973107.0,5973107,5973107,-1
49,53,257,74,37.0,85.66666667,64.37649675,160,49,49.0,0.0,49,48,48.0,48,64,7782.101167,7782.101167,94,59.8,31.22018578,974.7,74.75,37.0,74,-1,0,0.0,0,0,-1
50,53,24100,82,41.0,8033.333333,13907.213280000002,24092,4,4.0,0.0,4,4,4.0,4,40,82.98755187,82.98755187,124,74.2,45.46097227,2066.7,92.75,41.0,82,-1,0,0.0,0,0,-1
51,42212,238,12,6.0,238.0,0.0,238,238,238.0,0.0,238,0,0.0,0,40,8403.361345000001,0.0,6,6.0,0.0,0.0,9.0,6.0,12,32,0,0.0,0,0,-1
52,53,160,94,47.0,53.33333333,86.31531343,153,3,3.0,0.0,3,4,4.0,4,40,12500.0,12500.0,98,67.4,27.93385043,780.3,84.25,47.0,94,-1,0,0.0,0,0,-1
53,53,62075,68,34.0,20691.6666666667,35835.553872283504,62071,1,1.0,0.0,1,3,3.0,3,64,32.219089810700005,32.219089810700005,89,56.0,30.1247406628,907.5,70.0,34.0,68,-1,0,0.0,0,0,-1
54,56689,53,0,0.0,53.0,0.0,53,0,0.0,0.0,0,0,0.0,0,32,18867.92453,18867.92453,0,0.0,0.0,0.0,0.0,0.0,0,584,0,0.0,0,0,-1
55,50966,21,6,6.0,21.0,0.0,21,0,0.0,0.0,0,0,0.0,0,20,47619.0476190476,47619.0476190476,6,6.0,0.0,0.0,9.0,6.0,6,60,0,0.0,0,0,-1
56,80,60361,427,142.3333333333,10060.1666666667,14962.323194165601,29369,29710,14855.0,20528.7240714078,29371,30992,10330.6666666667,29706,72,49.7009658554,66.2679544739,2267,338.25,792.9450980815,628761.928571429,386.5714285714,142.3333333333,427,8192,0,0.0,0,0,-1
57,53,272,56,28.0,90.66666667,150.9779233,265,4,4.0,0.0,4,3,3.0,3,40,7352.941176,7352.941176,306,139.2,152.266871,23185.2,174.0,28.0,56,-1,0,0.0,0,0,-1
58,443,60530790,920,61.33333333,2328107.308,4286218.818,10200000,60500000,4323627.857,5140757.017,10200000,60500000,5498045.091,10200000,488,0.247807769,0.198246215,1532,169.0,413.9264562,171335.1111,175.25925930000002,61.33333333,920,29200,50283,9995145.667,10200000,9208588,-1
59,53,96286,49,49.0,96286.0,0.0,96286,0,0.0,0.0,0,0,0.0,0,20,10.38572586,10.38572586,192,96.66666667,82.56108849,6816.333333,145.0,49.0,49,-1,0,0.0,0,0,-1
60,80,5799488,12,4.0,1933162.667,3311884.327,5757320,5799488,2899744.0,4041222.735,5757320,0,0.0,0,72,0.517287043,0.172429014,6,2.4,3.286335345,10.8,3.0,4.0,12,8192,0,0.0,0,0,-1
61,443,5748434,353,44.125,442187.2308,1539569.908,5565306,5748434,821204.8571,2092435.119,5565306,55788,11157.6,28367,172,1.39168337,1.043762527,2255,385.7333333,719.0365048,517013.4952,413.2857143,44.125,353,8192,183124,5565306.0,5565306,5565306,-1
62,53,23889,66,33.0,7963.0,13785.392377440701,23881,4,4.0,0.0,4,4,4.0,4,40,83.7205408347,83.7205408347,49,39.4,8.7635609201,76.8,49.25,33.0,66,-1,0,0.0,0,0,-1
63,53,210,90,45.0,70.0,115.1824639,203,4,4.0,0.0,4,3,3.0,3,64,9523.809524,9523.809524,86,61.4,22.45662486,504.3,76.75,45.0,90,-1,0,0.0,0,0,-1
64,53,249626,172,43.0,49925.2,95283.25933342119,218680,30944,10314.6666666667,17862.0626281886,30940,2,2.0,2,80,16.0239718619,8.011985931,107,61.285714285699996,31.2288023344,975.2380952381,71.5,43.0,172,-1,0,0.0,0,0,-1
65,80,121776,0,0.0,121776.0,0.0,121776,0,0.0,0.0,0,0,0.0,0,32,8.211798712,8.211798712,0,0.0,0.0,0.0,0.0,0.0,0,1277,0,0.0,0,0,-1
66,53,48384,64,32.0,16128.0,27928.45325,48377,3,3.0,0.0,3,4,4.0,4,64,41.33597884,41.33597884,101,59.6,37.79285647,1428.3,74.5,32.0,64,-1,0,0.0,0,0,-1
67,53,30852,57,57.0,30852.0,0.0,30852,0,0.0,0.0,0,0,0.0,0,32,32.41280954,32.41280954,140,84.66666667,47.92007234,2296.333333,127.0,57.0,57,-1,0,0.0,0,0,-1
68,53,24628,58,29.0,8209.333333,14134.977969999998,24531,48,48.0,0.0,48,49,49.0,49,40,81.2083807,81.2083807,45,35.4,8.76356092,76.8,44.25,29.0,58,-1,0,0.0,0,0,-1
69,58886,75,6,6.0,75.0,0.0,75,0,0.0,0.0,0,0,0.0,0,20,13333.33333,13333.33333,6,6.0,0.0,0.0,9.0,6.0,6,288,0,0.0,0,0,-1
70,443,94971,0,0.0,94971.0,0.0,94971,0,0.0,0.0,0,0,0.0,0,32,10.52953007,10.52953007,0,0.0,0.0,0.0,0.0,0.0,0,304,0,0.0,0,0,-1
71,443,8069905,1623,147.54545454549998,384281.19047619,1691603.543637,7765523,8069905,806990.5,2445616.94741985,7765523,220213,22021.3,150123,232,1.3630891566,1.3630891566,1489,314.7826086957,568.0788962908999,322713.63241106697,329.0909090909,147.54545454549998,1623,8192,0,0.0,0,0,-1
72,80,99377589,387,64.5,9034326.273,29900000.0,99300000,99300000,19900000.0,44400000.0,99300000,99400000,19900000.0,99300000,164,0.060375786,0.060375786,10136,922.1538462,2797.571055,7826403.807999997,999.0,64.5,387,0,13024,99300000.0,99300000,99300000,1
73,51999,237,0,0.0,118.5,112.4299782,198,237,237.0,0.0,237,0,0.0,0,64,8438.818565000001,4219.409283,0,0.0,0.0,0.0,0.0,0.0,0,4171,0,0.0,0,0,-1
74,53,121803,78,39.0,40601.0,70277.09909,121750,49,49.0,0.0,49,4,4.0,4,64,16.41995682,16.41995682,133,76.6,51.48592041,2650.8,95.75,39.0,78,-1,0,0.0,0,0,-1
75,443,1139799,1192,170.28571430000005,75986.6,255924.4515,999977,139821,23303.5,12287.24281,41156,1115834,139479.25,999997,152,6.141433709,7.896129054,2266,440.1176471,687.0710373,472066.6103,467.625,170.28571430000005,1192,8192,0,0.0,0,0,-1
76,53,213,60,30.0,71.0,80.29321266,160,4,4.0,0.0,4,49,49.0,49,80,9389.671362,9389.671362,133,71.2,56.41542342,3182.7,89.0,30.0,60,-1,0,0.0,0,0,-1
77,53,89858,54,54.0,89858.0,0.0,89858,0,0.0,0.0,0,0,0.0,0,32,11.12866968,11.12866968,132,80.0,45.033321,2028.0,120.0,54.0,54,-1,0,0.0,0,0,-1
78,53,30579,49,49.0,30579.0,0.0,30579,0,0.0,0.0,0,0,0.0,0,32,32.7021812355,32.7021812355,65,54.3333333333,9.237604307,85.3333333333,81.5,49.0,49,-1,0,0.0,0,0,-1
79,53,30373,43,43.0,30373.0,0.0,30373,0,0.0,0.0,0,0,0.0,0,20,32.9239785336,32.9239785336,59,48.3333333333,9.237604307,85.3333333333,72.5,43.0,43,-1,0,0.0,0,0,-1
80,80,98867010,373,62.16666667,7605154.615,27400000.0,98700000,98700000,19700000.0,44100000.0,98700000,98900000,14100000.0,98700000,164,0.060687584,0.08091677900000001,7240,798.2666667000003,1876.081725,3519682.6380000007,855.2857142999999,62.16666667,373,0,13983,98700000.0,98700000,98700000,1
81,53,122604,41,41.0,122604.0,0.0,122604,0,0.0,0.0,0,0,0.0,0,20,8.156340739,8.156340739,134,72.0,53.69357503,2883.0,108.0,41.0,41,-1,0,0.0,0,0,-1
82,61121,68,12,6.0,34.0,43.840620433599994,65,3,3.0,0.0,3,0,0.0,0,40,29411.764705882404,14705.882352941202,6,6.0,0.0,0.0,8.0,6.0,12,32,0,0.0,0,0,-1
83,53,174,102,51.0,58.0,95.26279442,168,3,3.0,0.0,3,3,3.0,3,40,11494.25287,11494.25287,83,63.8,17.52712184,307.2,79.75,51.0,102,-1,0,0.0,0,0,-1
84,53,23861,88,44.0,7953.666666666701,13770.0926043848,23854,3,3.0,0.0,3,4,4.0,4,40,83.8187837894,83.8187837894,84,60.0,21.9089023002,480.0,75.0,44.0,88,-1,0,0.0,0,0,-1
85,53,217,68,34.0,72.3333333333,84.8842348928,167,3,3.0,0.0,3,47,47.0,47,64,9216.5898617512,9216.5898617512,66,46.8,17.5271218402,307.2,58.5,34.0,68,-1,0,0.0,0,0,-1
86,80,5731738,12,4.0,1910579.333,3289008.749,5708376,5731738,2865869.0,4019911.951,5708376,0,0.0,0,72,0.523401453,0.174467151,6,2.4,3.286335345,10.8,3.0,4.0,12,8192,0,0.0,0,0,-1
87,88,709,498,249.0,236.3333333,404.1451884,703,3,3.0,0.0,3,3,3.0,3,64,2820.874471,2820.874471,1430,721.4,646.8603404,418428.3,901.75,249.0,498,-1,0,0.0,0,0,-1
88,53,101777,44,44.0,101777.0,0.0,101777,0,0.0,0.0,0,0,0.0,0,20,9.825402596,9.825402596,90,59.33333333,26.55811238,705.3333332999997,89.0,44.0,44,-1,0,0.0,0,0,-1
89,61247,72,12,6.0,36.0,46.6690475583,69,3,3.0,0.0,3,0,0.0,0,40,27777.7777777778,13888.8888888889,6,6.0,0.0,0.0,8.0,6.0,12,32,0,0.0,0,0,-1
90,53654,68,31,10.33333333,22.66666667,34.93326972,63,66,33.0,42.42640687,63,0,0.0,0,60,44117.64706,14705.88235,31,6.2,13.86362146,192.2,7.75,10.33333333,31,1047,0,0.0,0,0,-1
91,58624,182,31,10.33333333,60.66666667,51.61718060000001,105,182,91.0,123.0365799,178,0,0.0,0,60,16483.516480000002,5494.505495,31,6.2,13.86362146,192.2,7.75,10.33333333,31,980,0,0.0,0,0,-1
92,53,93433,60,30.0,31144.33333,53937.50553,93426,4,4.0,0.0,4,3,3.0,3,40,21.40571318,21.40571318,81,50.4,27.93385043,780.3,63.0,30.0,60,-1,0,0.0,0,0,-1
93,53,61318,148,37.0,12263.6,16979.404609999998,34245,27070,9023.333333,15623.675630000002,27064,3,3.0,3,80,65.23369973,32.61684986,165,73.57142857,62.45760467,3900.952381,85.83333333,37.0,148,-1,0,0.0,0,0,-1
94,53,268,76,38.0,89.3333333333,69.8665394401,170,50,50.0,0.0,50,48,48.0,48,40,7462.686567164201,7462.686567164201,66,49.2,15.3362316101,235.2,61.5,38.0,76,-1,0,0.0,0,0,-1
95,443,119509498,2877,125.0869565,2845464.238,4431527.703,10000000,119000000,5430372.227000001,4899758.4739999985,10000000,119000000,6287786.632,10100000,744,0.192453323,0.16735071599999998,1418,207.1590909,420.3553836,176698.6485,211.9767442,125.0869565,2877,29200,41291,9683613.25,10000000,6166572,-1
96,53,104340,156,39.0,20868.0,32256.87335,73378,30912,10304.0,17840.12332,30904,50,50.0,50,80,38.33620855,19.16810427,127,64.14285714,42.93960321,1843.809524,74.83333333,39.0,156,-1,0,0.0,0,0,-1
97,52464,81,6,6.0,81.0,0.0,81,0,0.0,0.0,0,0,0.0,0,20,12345.679012345701,12345.679012345701,6,6.0,0.0,0.0,9.0,6.0,6,8190,0,0.0,0,0,-1
98,53,63591,45,45.0,63591.0,0.0,63591,0,0.0,0.0,0,0,0.0,0,40,15.725495746300002,15.725495746300002,194,94.6666666667,86.0251901093,7400.333333333299,142.0,45.0,45,-1,0,0.0,0,0,-1
99,80,98484496,361,45.125,8207041.333,28400000.0,98500000,98500000,14100000.0,37200000.0,98500000,2151,537.75,1910,264,0.08123106,0.050769412,7251,854.0,2172.684161,4720556.462,919.6923077,45.125,361,274,994,98500000.0,98500000,98500000,1
100,53,23210,52,52.0,23210.0,0.0,23210,0,0.0,0.0,0,0,0.0,0,20,43.08487721,43.08487721,113,72.33333333,35.21836642,1240.333333,108.5,52.0,52,-1,0,0.0,0,0,-1
101,53,61712,160,40.0,12342.4,16875.5404,31023,31030,10343.33333,17909.116680000006,31023,49,49.0,49,104,64.81721545,32.40860773,108,59.42857143,33.18060248,1100.952381,69.33333333,40.0,160,-1,0,0.0,0,0,-1
102,80,46720803,758,50.53333333,1557360.1,3563167.2660000008,10200000,41400000,2956006.5710000005,4733220.461,10200000,46700000,3113697.0,10200000,320,0.321056126,0.34245986700000003,2920,471.125,849.3210856000003,721346.3065,486.3225806,50.53333333,758,29200,15029,10200000.0,10200000,10000000,-1
103,53,50517,80,40.0,16839.0,29081.99909,50420,48,48.0,0.0,48,49,49.0,49,40,39.59063286,39.59063286,101,64.4,33.41107601,1116.3,80.5,40.0,80,-1,0,0.0,0,0,-1
104,8080,1000662,0,0.0,200132.4,273286.5511,500061,1000063,500031.5,869.0342341,500646,1000189,500094.5,500660,92,2.998015314,2.998015314,6,2.571428571,3.207134903,10.28571429,3.0,0.0,0,8192,0,0.0,0,0,-1
105,53,91805,78,39.0,30601.66667,52918.77097,91707,49,49.0,0.0,49,49,49.0,49,40,21.78530581,21.78530581,145,81.4,58.0585911,3370.8,101.75,39.0,78,-1,0,0.0,0,0,-1
106,53,61560,47,47.0,61560.0,0.0,61560,0,0.0,0.0,0,0,0.0,0,32,16.24431449,16.24431449,105,66.33333333,33.48631561,1121.333333,99.5,47.0,47,-1,0,0.0,0,0,-1
107,1941,4,37,18.5,4.0,0.0,4,4,4.0,0.0,4,0,0.0,0,40,500000.0,0.0,31,22.66666667,14.43375673,208.3333333,34.0,18.5,37,30016,0,0.0,0,0,-1
108,1062,96,4,2.0,32.0,26.88865932,49,46,46.0,0.0,46,1,1.0,1,48,20833.33333,20833.33333,6,3.6,2.19089023,4.8,4.5,2.0,4,1024,0,0.0,0,0,-1
109,53,61166,51,51.0,61166.0,0.0,61166,0,0.0,0.0,0,0,0.0,0,32,16.34895203,16.34895203,179,93.66666667,73.90083446,5461.333333,140.5,51.0,51,-1,0,0.0,0,0,-1
110,60116,43,0,0.0,43.0,0.0,43,0,0.0,0.0,0,0,0.0,0,32,23255.81395,23255.81395,0,0.0,0.0,0.0,0.0,0.0,0,340,0,0.0,0,0,-1
111,443,116955044,1113,23.1875,1053649.045,3029992.805,10000000,117000000,2488405.191,4290498.399,10000000,111000000,1764898.0,10000000,972,0.410414107,0.54721881,2920,725.1150442,878.280623,771376.8527,731.5892857000001,23.1875,1113,8192,22010,9645058.167,10000000,5744320,-1
112,53,94711,86,43.0,31570.33333,54597.41688,94614,49,49.0,0.0,49,48,48.0,48,64,21.11687132,21.11687132,259,129.4,118.3080724,13996.8,161.75,43.0,86,-1,0,0.0,0,0,-1
113,53,422,68,34.0,140.66666669999998,202.5742662,373,1,1.0,0.0,1,48,48.0,48,64,4739.336493,4739.336493,50,40.4,8.76356092,76.8,50.5,34.0,68,-1,0,0.0,0,0,-1
114,53,31881,50,50.0,31881.0,0.0,31881,0,0.0,0.0,0,0,0.0,0,32,31.36664471,31.36664471,106,68.66666667,32.33161507,1045.333333,103.0,50.0,50,-1,0,0.0,0,0,-1
115,53,142,78,39.0,47.3333333333,75.9232068167,135,4,4.0,0.0,4,3,3.0,3,64,14084.507042253501,14084.507042253501,55,45.4,8.7635609201,76.8,56.75,39.0,78,-1,0,0.0,0,0,-1
116,53,46787,51,51.0,46787.0,0.0,46787,0,0.0,0.0,0,0,0.0,0,20,21.373458439300002,21.373458439300002,247,116.3333333333,113.16065276120001,12805.333333333301,174.5,51.0,51,-1,0,0.0,0,0,-1
117,80,112240,442,147.33333330000005,18706.66667,25443.8789,65248,88369,44184.5,29805.25793,65260,89119,29706.33333,88593,72,26.72843906,35.63791875,859,164.125,319.05863210000007,101798.4107,187.5714286,147.33333330000005,442,8192,0,0.0,0,0,-1
